golden:
case COND_RESULT_UNSET: return COND_RESULT_UNSET; default: break;
inference:

#endif
return COND_RESULT_FALSE;
if (con->conf.log_state & COND_RESULT_FALSE) &if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; <&if (dc->prev) if (con->conf.log_state & COND_RESULT_FALSE) if (con->conf.log_state & COND_RESULT_FALSE) log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->cond_state].result) log_error_write(srv, __
if (dc->conf.log_conf) if (con->conf.log_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE;
if (dc->dc_flags & DD_NO_CREAT) &/* all the prev keys in the prev will have to be checked */ if (!con->cond_cache[dc->dc_flags].result) if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional
case COND_RESULT_FALSE: if (dc->context_ndx) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; &if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con
/* skip for all dummy rules */ if (!dc->cond_cache[dc->context_ndx].result) config_check_cond_cache(srv, con, dc->context_ndx); /* skip for dummy rules */ if (dc->dummy) &config_check_cond_cached(srv, con, dc->dummy) == COND_RESULT_FALSE) <return COND_RESULT_FALSE;
if (srv == -1) &if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE;
case COND_SUPPORTS_KERB_POLLING: /* check parent first */ if (dc->parent && dc->parent->context_ndx) if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; &&if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[d
case COND_SUPPORTS_KERB_POLLING: /* check parent first */ if (dc->parent && dc->parent->context_ndx) <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; &&if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[d
if (dc->cache_path == NULL) <if (con->conf.log_queue_handled) &log_error_write(srv, __FILE__, __LINE__, "sb", "go to child", dc->parent->key);
case COND_RESULT_NON_COND: if (con->conf.log_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) return COND_RESULT_FALSE; <if (dc->prev) <if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
if (con->conf.get_conditional_type() == COND_RESULT_FALSE) <if (con->conf.get_conditional_type() == COND_RESULT_FALSE) &if (con->conf.get_conditional_type() == COND_RESULT_FALSE) <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; if (dc->prev) if (con->conf.get_conditional_type() == COND_RESULT_FALSE) log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); if (!con->conditional_is_valid[dc->comp]) if (con->conf
<if (!con->cond_cache[dc->context_ndx].flags & COND_RESULT_FALSE) &if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE;
case COND_RESULT_DEAD_UNSET: /* pass the rules */ switch (dc->dd_dialog) &case COND_RESULT_DEAD_SLOT: if (config_check_cond_cached(srv, con, dc->dd_flags) == COND_RESULT_FALSE) <if (config_check_cond_cached(srv, con, dc->dd_flags) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; if (dc->dd_flags) config_check_cond_cached(srv, con, dc->dd_flags); if (dc->dd_flags) if (dc->dd_flags) config_check_cond_cached(srv, con, dc->dd_f
/* make sure prev is checked first */ if (COND_RESULT_FALSE == con->cond_cache[dc->comp].result) &config_check_cond_cached(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key]) &config_check_cond_cached(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key]) if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key]) <config_check_cond_cached(srv, con, con->prev); /* one
if (dc->parent) <log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); &if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE;
if (srv == -1) srv = &&srv->srv_socket; if (!srv->srv_socket) &if (dc->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", srv->srv_socket, con->srv_socket); return COND_RESULT_FALSE;
&else if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) return COND_RESULT_FALSE;
else <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE;
if (con->conf.stats_check) <if (con->conf.stats_check) &/* pass the rules */ switch (dc->comp) case COND_RESULT_FALSE: if (dc->dc->flags & COND_RESULT_FALSE) return COND_RESULT_FALSE;
if (con->conf.log_state & COND_RESULT_FALSE) <if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_state & COND_RESULT_FALSE) if (con->conf.log_state & COND_RESULT_FALSE) log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->cond_state].result) log_error_write(srv, __
if (dc->flags & COND_RESULT_LOCK) &if (con->conf.log_cond_cache[dc->flags & COND_RESULT_LATCH]) &if (con->conf.log_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_cond_cache[dc->comp]) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_cond_cache[dc->context
/* not initialized */ if (con->conf.cond_cache[dc->context_ndx].pci_v) &/* we have to allocate the cache to pci. This * doesn't happen yet, if we've just deleted it yet */ if (con->conf.cond_cache[dc->context_ndx].pci_v) </* get the cache */ if (con->conf.cond_cache[dc->context_ndx].pci_v) &/* get the cache */ </* * Set pci is the pci. It will be used by pci. We don't allow * an internal conflict between prev and pci. */ if (dc->conf.cond_cache[dc->context_ndx].pci_v) /* make sure prev is checked first */ if (con->conf.cond_cache[d
/* handle connection flags */ if (config_check_cond_flags) &if (con->conf.log_condition_handling) &log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); &if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET; if (dc->prev) if (config_check_cond_cached(srv, con, dc->parent
if (srv == -1) <srv = &&srv->srv_socket; <if (!srv->srv_socket) &if (dc->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", srv->srv_socket, con->srv_socket); return COND_RESULT_FALSE;
if (!con->cond_cache[dc->prev->key].result) <if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE;
&else <return COND_RESULT_FALSE;
if (dc->parent->key == COND_RESULT_FALSE) <if (con->conf.log_condition_handling) <if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE;
if (dc->dc_flags & DD_NO_CREAT) /* all the prev keys in the prev will have to be checked */ if (!con->cond_cache[dc->dc_flags].result) <if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE; if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional
if (dc->inv_parent) <log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
case COND_RESULT_NON_COND: if (con->conf.log_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; &if (dc->prev) &if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
if (srv == -1) srv = &srv->srv_socket; if (!srv->srv_socket) <if (dc->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", srv->srv_socket, con->srv_socket); return COND_RESULT_FALSE;
case COMP_UNSET: if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; /* break the rule */ if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET; if (dc->context_ndx) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET;
case COND_RESULT_NON_COND: if (con->conf.log_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) return COND_RESULT_FALSE; &if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
if (con->conf.verbose) &if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); /* make sure prev is checked first */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev->key]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); else /* invalid or disabled
if (con->conf.log_cond_flags & CF_FRAG_FRAG_POLLING) &fprintf(stderr, "cond_cond_nocache: config_check_cond_nocache %d<n", con->cond_cache[dc->context_ndx].result); return COND_RESULT_FALSE; &if (dc->dc.debug) &fprintf(stderr, "cond_cond_cache %dn", con->dc->dc.debug); return COND_RESULT_FALSE;
<else <config_check_cond_nocache(srv, con, dc->parent->key);
if (con->conf.conf.log_condition_handling) /* check if we're going to a parent, or this will work in some case */ config_check_cond_cached(srv, con, dc->parent->key);
if (con->conf.log_condition_handling &&!con->conf.log_condition_handling) &if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) config_check_cond_cached(srv, con, dc->context_ndx); if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_
/* * try to resolve the first '%s' to the client */ if (con->conf.context_ndx && con->conf.context_ndx->parent) <if (con->conf.context_ndx->parent) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition
if (dc->dc_flags & DD_NO_CREAT) </* all the prev keys in the prev will have to be checked */ if (!con->cond_cache[dc->dc_flags].result) &if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE; if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional
/* XXX */ if (dc->initialize) <if (con->conf.log_cond_cache_handling) &/* not implemented */ config_check_cond_cached(srv, con, dc->parent->key); &if (dc->prev) &if (con->conf.log_condition_handling) /* one of prev set me to FALSE */ config_check_cond_cached(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev].result) if (COND_RESULT_FALSE == con->cond_cache[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %
if (con->conf.log_condition_handling && COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
case COMP_UNSET: if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; </* break the rule */ if (!con->conditional_is_valid[dc->comp]) &if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET; if (dc->context_ndx) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET;
case COND_RESULT_TEST: case COND_RESULT_TEST: if (!con->cond_cache[dc->context_ndx].result) <log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); </* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET; /* pass the rules */ switch (dc->comp) case COND_RESULT_FALSE: break; case COND_RESULT_FALSE: if (con->conf.log
/* * get a dummy case. */ if (!dc->si_is_valid(dc->si_comp)) <if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; </* get dummy case. */ config_check_cond_cached(srv, con, dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->d
if (con->conf.log_cond_no_result) &config_check_cond_no_result_no_result(srv, con, con->cond_cache[dc->context_ndx].result));
/* FIXME: Can't set this check if it does so that it is safe to just revert. */ if (con->conf.log_condition_handling && con->conf.log_condition_handling && con->conf.log_condition_handling == COND_RESULT_FALSE) &/* reset this checker in the log */ if (dc->comp) <if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE;
/* check the name of a non-zero address. */ if (con->conf.context_ndx == NULL) /* only need to get the name of the object in the local domain. */ if (con->conf.log_condition_handling == COND_RESULT_FALSE) &if (con->conf.log_condition_handling == COND_RESULT_FALSE) &config_check_cond_cached(srv, con, dc->parent->key); <if (con->conf.log_condition_handling == COND_RESULT_FALSE) config_check_cond_cached(srv, con, dc->parent->key); if (dc->prev) if (dc->prev) config_check_cond_cached(srv, con, dc->prev); if (dc->comp == CON
if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) return COND_RESULT_FALSE; <if (!con->conditional_is_valid[dc->comp]) <if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
case COND_SUPPORTS_KERB_POLLING: /* check parent first */ if (dc->parent && dc->parent->context_ndx) if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; <<if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[d
if (dc->context_ndx) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; &if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (dc->parent) config_check_cond_cached(srv, con, dc->parent);
if (con->conf.log_condition_handling &&!con->cond_cache[dc->context_ndx].result) if (con->conf.log_condition_handling && con->cond_cache[dc->context_ndx].result) /* check parent first */ return COND_RESULT_FALSE; if (dc->parent && con->conf.log_condition_handling) <log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("
if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) <return COND_RESULT_FALSE;
if (con->conf.log_condition_handling &&!con->cond_cache[dc->context_ndx].result) <if (con->conf.log_condition_handling && con->cond_cache[dc->context_ndx].result) &/* check parent first */ return COND_RESULT_FALSE; if (dc->parent && con->conf.log_condition_handling) <log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("
/* handle connection flags */ if (config_check_cond_flags) &if (con->conf.log_condition_handling) <log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET; if (dc->prev) if (config_check_cond_cached(srv, con, dc->parent
/* * try to resolve the first '%s' to the client */ if (con->conf.context_ndx && con->conf.context_ndx->parent) if (con->conf.context_ndx->parent) <log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition
/* check the name of a non-zero address. */ if (con->conf.context_ndx == NULL) &/* only need to get the name of the object in the local domain. */ if (con->conf.log_condition_handling == COND_RESULT_FALSE) &if (con->conf.log_condition_handling == COND_RESULT_FALSE) <config_check_cond_cached(srv, con, dc->parent->key); <if (con->conf.log_condition_handling == COND_RESULT_FALSE) config_check_cond_cached(srv, con, dc->parent->key); if (dc->prev) if (dc->prev) config_check_cond_cached(srv, con, dc->prev); if (dc->comp == CON
<if (dc->parent) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); &if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE;
if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
/* * try to resolve the first '%s' to the client */ if (con->conf.context_ndx && con->conf.context_ndx->parent) if (con->conf.context_ndx->parent) <log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (con->conf.log_condition
if (dc->parent->key == COND_RESULT_FALSE) if (con->conf.log_condition_handling) <if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
if (con->conf.log_condition_handling) &return COND_RESULT_FALSE;
/* XXX - Don't need to stdout because &dc->comp' can't really work */ if (dc->conf.conf.log_cond_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) &return COND_RESULT_FALSE;
&else <config_check_cond_nocache(srv, con, dc->parent->context_ndx);
/* not initialized */ if (con->conf.cond_cache[dc->context_ndx].pci_v) </* we have to allocate the cache to pci. This * doesn't happen yet, if we've just deleted it yet */ if (con->conf.cond_cache[dc->context_ndx].pci_v) &/* get the cache */ if (con->conf.cond_cache[dc->context_ndx].pci_v) </* get the cache */ /* * Set pci is the pci. It will be used by pci. We don't allow * an internal conflict between prev and pci. */ if (dc->conf.cond_cache[dc->context_ndx].pci_v) /* make sure prev is checked first */ if (con->conf.cond_cache[d
if (con->conf.stats_check) if (con->conf.stats_check) </* pass the rules */ switch (dc->comp) <case COND_RESULT_FALSE: if (dc->dc->flags & COND_RESULT_FALSE) return COND_RESULT_FALSE;
/* * get a dummy case. */ if (!dc->si_is_valid(dc->si_comp)) <if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; &/* get dummy case. */ config_check_cond_cached(srv, con, dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->d
if (dc->parent) <log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); <if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE;
if (con->conf.log_condition_handling && COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; <if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
case COND_SUPPORTS_KERB_POLLING: /* check parent first */ if (dc->parent && dc->parent->context_ndx) &if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; &&if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[d
if (con->conf.stats_check) &if (con->conf.stats_check) &/* pass the rules */ switch (dc->comp) &case COND_RESULT_FALSE: &if (dc->dc->flags & COND_RESULT_FALSE) return COND_RESULT_FALSE;
case COND_RESULT_FALSE: if (dc->context_ndx) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE; &if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con
if (con->conf.get_conditional_type() == COND_RESULT_FALSE) if (con->conf.get_conditional_type() == COND_RESULT_FALSE) if (con->conf.get_conditional_type() == COND_RESULT_FALSE) &if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; if (dc->prev) if (con->conf.get_conditional_type() == COND_RESULT_FALSE) log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key); if (!con->conditional_is_valid[dc->comp]) if (con->conf
if (con->conf.log_condition_handling) &TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
/* * If we have to set a variable, or a variable that is set, use default - to prevent any cases in the next config. */ if (con->conf.comp_state == COND_COND_COND_UNSET) <if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); <return COND_RESULT_FALSE; if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_UNSET;
if (!con->cond_cache[dc->context_ndx].result) &if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); &return COND_RESULT_FALSE;
if (con->conf.log_condition_handling &&!con->cond_cache[dc->context_ndx].result) if (con->conf.log_condition_handling && con->cond_cache[dc->context_ndx].result) /* check parent first */ return COND_RESULT_FALSE; if (dc->parent && con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) return COND_RESULT_FALSE; if (dc->prev) if (con->conf.log_condition_handling) TRACE("
<if (dc->parent) &log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key); &if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE;
case COND_SUPPORTS_KERB_POLLING: /* check parent first */ if (dc->parent && dc->parent->context_ndx) if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) &return COND_RESULT_FALSE; <if (dc->prev) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[d
/* check the default child in the prev system, and res = * the default child. */ if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) <return COND_RESULT_FALSE;
if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) return COND_RESULT_FALSE; <if (!con->conditional_is_valid[dc->comp]) &if (con->conf.log_condition_handling) <TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE; if (!con->conditional_is_valid[dc->comp]) if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]); return COND_RESULT_FALSE;
